P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score,SetNo
Benjamin Becker,James Blake,hard,2,1,15,0,1
Benjamin Becker,James Blake,hard,2,1,30,0,1
Benjamin Becker,James Blake,hard,2,2,30,15,1
Benjamin Becker,James Blake,hard,2,1,40,15,1
Benjamin Becker,James Blake,hard,2,2,40,30,1
Benjamin Becker,James Blake,hard,2,1,0,0,1
Benjamin Becker,James Blake,hard,1,2,0,15,1
Benjamin Becker,James Blake,hard,1,2,0,30,1
Benjamin Becker,James Blake,hard,1,1,15,30,1
Benjamin Becker,James Blake,hard,1,2,15,40,1
Benjamin Becker,James Blake,hard,1,1,30,40,1
Benjamin Becker,James Blake,hard,1,1,40,40,1
Benjamin Becker,James Blake,hard,1,2,40,AD,1
Benjamin Becker,James Blake,hard,1,2,0,0,1
Benjamin Becker,James Blake,hard,2,2,0,15,1
Benjamin Becker,James Blake,hard,2,1,15,15,1
Benjamin Becker,James Blake,hard,2,1,30,15,1
Benjamin Becker,James Blake,hard,2,2,30,30,1
Benjamin Becker,James Blake,hard,2,2,30,40,1
Benjamin Becker,James Blake,hard,2,2,0,0,1
Benjamin Becker,James Blake,hard,1,2,0,15,1
Benjamin Becker,James Blake,hard,1,1,15,15,1
Benjamin Becker,James Blake,hard,1,2,15,30,1
Benjamin Becker,James Blake,hard,1,1,30,30,1
Benjamin Becker,James Blake,hard,1,1,40,30,1
Benjamin Becker,James Blake,hard,1,2,40,40,1
Benjamin Becker,James Blake,hard,1,1,AD,40,1
Benjamin Becker,James Blake,hard,1,1,0,0,1
Benjamin Becker,James Blake,hard,2,2,0,15,1
Benjamin Becker,James Blake,hard,2,2,0,30,1
Benjamin Becker,James Blake,hard,2,1,15,30,1
Benjamin Becker,James Blake,hard,2,1,30,30,1
Benjamin Becker,James Blake,hard,2,2,30,40,1
Benjamin Becker,James Blake,hard,2,1,40,40,1
Benjamin Becker,James Blake,hard,2,2,40,AD,1
Benjamin Becker,James Blake,hard,2,2,0,0,1
Benjamin Becker,James Blake,hard,1,1,15,0,1
Benjamin Becker,James Blake,hard,1,2,15,15,1
Benjamin Becker,James Blake,hard,1,1,30,15,1
Benjamin Becker,James Blake,hard,1,2,30,30,1
Benjamin Becker,James Blake,hard,1,1,40,30,1
Benjamin Becker,James Blake,hard,1,1,0,0,1
Benjamin Becker,James Blake,hard,2,1,15,0,1
Benjamin Becker,James Blake,hard,2,1,30,0,1
Benjamin Becker,James Blake,hard,2,2,30,15,1
Benjamin Becker,James Blake,hard,2,2,30,30,1
Benjamin Becker,James Blake,hard,2,1,40,30,1
Benjamin Becker,James Blake,hard,2,2,40,40,1
Benjamin Becker,James Blake,hard,2,2,40,AD,1
Benjamin Becker,James Blake,hard,2,2,0,0,1
Benjamin Becker,James Blake,hard,1,1,15,0,1
Benjamin Becker,James Blake,hard,1,2,15,15,1
Benjamin Becker,James Blake,hard,1,1,30,15,1
Benjamin Becker,James Blake,hard,1,1,40,15,1
Benjamin Becker,James Blake,hard,1,2,40,30,1
Benjamin Becker,James Blake,hard,1,2,40,40,1
Benjamin Becker,James Blake,hard,1,1,AD,40,1
Benjamin Becker,James Blake,hard,1,2,40,40,1
Benjamin Becker,James Blake,hard,1,2,40,AD,1
Benjamin Becker,James Blake,hard,1,1,40,40,1
Benjamin Becker,James Blake,hard,1,2,40,AD,1
Benjamin Becker,James Blake,hard,1,1,40,40,1
Benjamin Becker,James Blake,hard,1,1,AD,40,1
Benjamin Becker,James Blake,hard,1,1,0,0,1
Benjamin Becker,James Blake,hard,2,2,0,15,1
Benjamin Becker,James Blake,hard,2,2,0,30,1
Benjamin Becker,James Blake,hard,2,2,0,40,1
Benjamin Becker,James Blake,hard,2,1,15,40,1
Benjamin Becker,James Blake,hard,2,2,0,0,1
Benjamin Becker,James Blake,hard,1,1,1,0,1
Benjamin Becker,James Blake,hard,2,2,1,1,1
Benjamin Becker,James Blake,hard,2,2,1,2,1
Benjamin Becker,James Blake,hard,1,2,1,3,1
Benjamin Becker,James Blake,hard,1,1,2,3,1
Benjamin Becker,James Blake,hard,2,2,2,4,1
Benjamin Becker,James Blake,hard,2,2,2,5,1
Benjamin Becker,James Blake,hard,1,1,3,5,1
Benjamin Becker,James Blake,hard,1,1,4,5,1
Benjamin Becker,James Blake,hard,2,2,4,6,1
Benjamin Becker,James Blake,hard,2,2,0,0,1
Benjamin Becker,James Blake,hard,2,2,0,15,2
Benjamin Becker,James Blake,hard,2,2,0,30,2
Benjamin Becker,James Blake,hard,2,2,0,40,2
Benjamin Becker,James Blake,hard,2,2,0,0,2
Benjamin Becker,James Blake,hard,1,1,15,0,2
Benjamin Becker,James Blake,hard,1,1,30,0,2
Benjamin Becker,James Blake,hard,1,1,40,0,2
Benjamin Becker,James Blake,hard,1,1,0,0,2
Benjamin Becker,James Blake,hard,2,1,15,0,2
Benjamin Becker,James Blake,hard,2,1,30,0,2
Benjamin Becker,James Blake,hard,2,1,40,0,2
Benjamin Becker,James Blake,hard,2,2,40,15,2
Benjamin Becker,James Blake,hard,2,2,40,30,2
Benjamin Becker,James Blake,hard,2,2,40,40,2
Benjamin Becker,James Blake,hard,2,2,40,AD,2
Benjamin Becker,James Blake,hard,2,2,0,0,2
Benjamin Becker,James Blake,hard,1,1,15,0,2
Benjamin Becker,James Blake,hard,1,2,15,15,2
Benjamin Becker,James Blake,hard,1,1,30,15,2
Benjamin Becker,James Blake,hard,1,1,40,15,2
Benjamin Becker,James Blake,hard,1,2,40,30,2
Benjamin Becker,James Blake,hard,1,1,0,0,2
Benjamin Becker,James Blake,hard,2,2,0,15,2
Benjamin Becker,James Blake,hard,2,1,15,15,2
Benjamin Becker,James Blake,hard,2,2,15,30,2
Benjamin Becker,James Blake,hard,2,2,15,40,2
Benjamin Becker,James Blake,hard,2,2,0,0,2
Benjamin Becker,James Blake,hard,1,2,0,15,2
Benjamin Becker,James Blake,hard,1,2,0,30,2
Benjamin Becker,James Blake,hard,1,1,15,30,2
Benjamin Becker,James Blake,hard,1,1,30,30,2
Benjamin Becker,James Blake,hard,1,2,30,40,2
Benjamin Becker,James Blake,hard,1,1,40,40,2
Benjamin Becker,James Blake,hard,1,2,40,AD,2
Benjamin Becker,James Blake,hard,1,2,0,0,2
Benjamin Becker,James Blake,hard,2,1,15,0,2
Benjamin Becker,James Blake,hard,2,2,15,15,2
Benjamin Becker,James Blake,hard,2,2,15,30,2
Benjamin Becker,James Blake,hard,2,2,15,40,2
Benjamin Becker,James Blake,hard,2,1,30,40,2
Benjamin Becker,James Blake,hard,2,1,40,40,2
Benjamin Becker,James Blake,hard,2,2,40,AD,2
Benjamin Becker,James Blake,hard,2,1,40,40,2
Benjamin Becker,James Blake,hard,2,1,AD,40,2
Benjamin Becker,James Blake,hard,2,1,0,0,2
Benjamin Becker,James Blake,hard,1,1,15,0,2
Benjamin Becker,James Blake,hard,1,2,15,15,2
Benjamin Becker,James Blake,hard,1,1,30,15,2
Benjamin Becker,James Blake,hard,1,2,30,30,2
Benjamin Becker,James Blake,hard,1,2,30,40,2
Benjamin Becker,James Blake,hard,1,2,0,0,2
Benjamin Becker,James Blake,hard,2,1,15,0,2
Benjamin Becker,James Blake,hard,2,1,30,0,2
Benjamin Becker,James Blake,hard,2,2,30,15,2
Benjamin Becker,James Blake,hard,2,2,30,30,2
Benjamin Becker,James Blake,hard,2,1,40,30,2
Benjamin Becker,James Blake,hard,2,1,0,0,2
Benjamin Becker,James Blake,hard,1,2,0,15,2
Benjamin Becker,James Blake,hard,1,1,15,15,2
Benjamin Becker,James Blake,hard,1,1,30,15,2
Benjamin Becker,James Blake,hard,1,2,30,30,2
Benjamin Becker,James Blake,hard,1,2,30,40,2
Benjamin Becker,James Blake,hard,1,1,40,40,2
Benjamin Becker,James Blake,hard,1,1,AD,40,2
Benjamin Becker,James Blake,hard,1,1,0,0,2
Benjamin Becker,James Blake,hard,2,1,15,0,2
Benjamin Becker,James Blake,hard,2,1,30,0,2
Benjamin Becker,James Blake,hard,2,2,30,15,2
Benjamin Becker,James Blake,hard,2,1,40,15,2
Benjamin Becker,James Blake,hard,2,1,0,0,2
Benjamin Becker,James Blake,hard,1,1,15,0,2
Benjamin Becker,James Blake,hard,1,1,30,0,2
Benjamin Becker,James Blake,hard,1,1,40,0,2
Benjamin Becker,James Blake,hard,1,1,0,0,2
Benjamin Becker,James Blake,hard,2,1,15,0,3
Benjamin Becker,James Blake,hard,2,2,15,15,3
Benjamin Becker,James Blake,hard,2,1,30,15,3
Benjamin Becker,James Blake,hard,2,2,30,30,3
Benjamin Becker,James Blake,hard,2,2,30,40,3
Benjamin Becker,James Blake,hard,2,1,40,40,3
Benjamin Becker,James Blake,hard,2,2,40,AD,3
Benjamin Becker,James Blake,hard,2,1,40,40,3
Benjamin Becker,James Blake,hard,2,1,AD,40,3
Benjamin Becker,James Blake,hard,2,1,0,0,3
Benjamin Becker,James Blake,hard,1,1,15,0,3
Benjamin Becker,James Blake,hard,1,1,30,0,3
Benjamin Becker,James Blake,hard,1,1,40,0,3
Benjamin Becker,James Blake,hard,1,1,0,0,3
Benjamin Becker,James Blake,hard,2,1,15,0,3
Benjamin Becker,James Blake,hard,2,1,30,0,3
Benjamin Becker,James Blake,hard,2,2,30,15,3
Benjamin Becker,James Blake,hard,2,2,30,30,3
Benjamin Becker,James Blake,hard,2,2,30,40,3
Benjamin Becker,James Blake,hard,2,1,40,40,3
Benjamin Becker,James Blake,hard,2,1,AD,40,3
Benjamin Becker,James Blake,hard,2,1,0,0,3
Benjamin Becker,James Blake,hard,1,1,15,0,3
Benjamin Becker,James Blake,hard,1,1,30,0,3
Benjamin Becker,James Blake,hard,1,1,40,0,3
Benjamin Becker,James Blake,hard,1,1,0,0,3
Benjamin Becker,James Blake,hard,2,2,0,15,3
Benjamin Becker,James Blake,hard,2,2,0,30,3
Benjamin Becker,James Blake,hard,2,1,15,30,3
Benjamin Becker,James Blake,hard,2,2,15,40,3
Benjamin Becker,James Blake,hard,2,1,30,40,3
Benjamin Becker,James Blake,hard,2,1,40,40,3
Benjamin Becker,James Blake,hard,2,1,AD,40,3
Benjamin Becker,James Blake,hard,2,1,0,0,3
Benjamin Becker,James Blake,hard,1,1,15,0,3
Benjamin Becker,James Blake,hard,1,1,30,0,3
Benjamin Becker,James Blake,hard,1,1,40,0,3
Benjamin Becker,James Blake,hard,1,1,0,0,3
Benjamin Becker,James Blake,hard,2,2,0,15,4
Benjamin Becker,James Blake,hard,2,1,15,15,4
Benjamin Becker,James Blake,hard,2,1,30,15,4
Benjamin Becker,James Blake,hard,2,2,30,30,4
Benjamin Becker,James Blake,hard,2,2,30,40,4
Benjamin Becker,James Blake,hard,2,1,40,40,4
Benjamin Becker,James Blake,hard,2,1,AD,40,4
Benjamin Becker,James Blake,hard,2,2,40,40,4
Benjamin Becker,James Blake,hard,2,2,40,AD,4
Benjamin Becker,James Blake,hard,2,1,40,40,4
Benjamin Becker,James Blake,hard,2,1,AD,40,4
Benjamin Becker,James Blake,hard,2,2,40,40,4
Benjamin Becker,James Blake,hard,2,2,40,AD,4
Benjamin Becker,James Blake,hard,2,2,0,0,4
Benjamin Becker,James Blake,hard,1,1,15,0,4
Benjamin Becker,James Blake,hard,1,1,30,0,4
Benjamin Becker,James Blake,hard,1,1,40,0,4
Benjamin Becker,James Blake,hard,1,1,0,0,4
Benjamin Becker,James Blake,hard,2,2,0,15,4
Benjamin Becker,James Blake,hard,2,2,0,30,4
Benjamin Becker,James Blake,hard,2,2,0,40,4
Benjamin Becker,James Blake,hard,2,2,0,0,4
Benjamin Becker,James Blake,hard,1,1,15,0,4
Benjamin Becker,James Blake,hard,1,1,30,0,4
Benjamin Becker,James Blake,hard,1,1,40,0,4
Benjamin Becker,James Blake,hard,1,1,0,0,4
Benjamin Becker,James Blake,hard,2,2,0,15,4
Benjamin Becker,James Blake,hard,2,2,0,30,4
Benjamin Becker,James Blake,hard,2,2,0,40,4
Benjamin Becker,James Blake,hard,2,2,0,0,4
Benjamin Becker,James Blake,hard,1,1,15,0,4
Benjamin Becker,James Blake,hard,1,1,30,0,4
Benjamin Becker,James Blake,hard,1,2,30,15,4
Benjamin Becker,James Blake,hard,1,1,40,15,4
Benjamin Becker,James Blake,hard,1,2,40,30,4
Benjamin Becker,James Blake,hard,1,1,0,0,4
Benjamin Becker,James Blake,hard,2,2,0,15,4
Benjamin Becker,James Blake,hard,2,2,0,30,4
Benjamin Becker,James Blake,hard,2,1,15,30,4
Benjamin Becker,James Blake,hard,2,2,15,40,4
Benjamin Becker,James Blake,hard,2,1,30,40,4
Benjamin Becker,James Blake,hard,2,2,0,0,4
Benjamin Becker,James Blake,hard,1,1,15,0,4
Benjamin Becker,James Blake,hard,1,1,30,0,4
Benjamin Becker,James Blake,hard,1,1,40,0,4
Benjamin Becker,James Blake,hard,1,2,40,15,4
Benjamin Becker,James Blake,hard,1,1,0,0,4
Benjamin Becker,James Blake,hard,2,1,15,0,4
Benjamin Becker,James Blake,hard,2,1,30,0,4
Benjamin Becker,James Blake,hard,2,1,40,0,4
Benjamin Becker,James Blake,hard,2,2,40,15,4
Benjamin Becker,James Blake,hard,2,2,40,30,4
Benjamin Becker,James Blake,hard,2,1,0,0,4
Benjamin Becker,James Blake,hard,1,2,0,15,4
Benjamin Becker,James Blake,hard,1,2,0,30,4
Benjamin Becker,James Blake,hard,1,1,15,30,4
Benjamin Becker,James Blake,hard,1,1,30,30,4
Benjamin Becker,James Blake,hard,1,1,40,30,4
Benjamin Becker,James Blake,hard,1,1,0,0,4
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,15,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,15,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,15,40,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,15,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,40,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,15,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,15,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,15,40,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,1,15,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,1,30,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,30,15,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,30,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,30,40,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,15,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,15,15,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,30,15,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,30,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,40,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,0,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,15,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,40,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,15,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,30,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,30,15,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,30,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,40,30,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,40,40,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,1,AD,40,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,40,40,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,40,AD,1
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,0,1
Sergiy Stakhovsky,Radek Stepanek,hard,2,1,15,0,2
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,15,15,2
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,15,30,2
Sergiy Stakhovsky,Radek Stepanek,hard,2,1,30,30,2
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,30,40,2
Sergiy Stakhovsky,Radek Stepanek,hard,2,2,0,0,2
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,15,2
Sergiy Stakhovsky,Radek Stepanek,hard,1,2,0,30,2
Ernests Gulbis,Tomas Berdych,hard,1,2,0,15,1
Ernests Gulbis,Tomas Berdych,hard,1,1,15,15,1
Ernests Gulbis,Tomas Berdych,hard,1,1,30,15,1
Ernests Gulbis,Tomas Berdych,hard,1,2,30,30,1
Ernests Gulbis,Tomas Berdych,hard,1,1,40,30,1
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,15,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,30,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,40,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,40,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,1
Ernests Gulbis,Tomas Berdych,hard,2,1,15,0,1
Ernests Gulbis,Tomas Berdych,hard,2,2,15,15,1
Ernests Gulbis,Tomas Berdych,hard,2,1,30,15,1
Ernests Gulbis,Tomas Berdych,hard,2,2,30,30,1
Ernests Gulbis,Tomas Berdych,hard,2,2,30,40,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,40,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,15,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,30,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,40,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,1
Ernests Gulbis,Tomas Berdych,hard,1,2,30,15,1
Ernests Gulbis,Tomas Berdych,hard,1,1,40,15,1
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,1
Ernests Gulbis,Tomas Berdych,hard,2,1,15,0,1
Ernests Gulbis,Tomas Berdych,hard,2,1,30,0,1
Ernests Gulbis,Tomas Berdych,hard,2,2,30,15,1
Ernests Gulbis,Tomas Berdych,hard,2,2,30,30,1
Ernests Gulbis,Tomas Berdych,hard,2,2,30,40,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,1
Ernests Gulbis,Tomas Berdych,hard,1,2,30,15,1
Ernests Gulbis,Tomas Berdych,hard,1,1,40,15,1
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,1
Ernests Gulbis,Tomas Berdych,hard,2,1,15,0,1
Ernests Gulbis,Tomas Berdych,hard,2,2,15,15,1
Ernests Gulbis,Tomas Berdych,hard,2,2,15,30,1
Ernests Gulbis,Tomas Berdych,hard,2,2,15,40,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,40,0,1
Ernests Gulbis,Tomas Berdych,hard,1,2,40,15,1
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,15,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,30,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,40,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,1
Ernests Gulbis,Tomas Berdych,hard,1,1,1,0,1
Ernests Gulbis,Tomas Berdych,hard,2,2,1,1,1
Ernests Gulbis,Tomas Berdych,hard,2,2,1,2,1
Ernests Gulbis,Tomas Berdych,hard,1,1,2,2,1
Ernests Gulbis,Tomas Berdych,hard,1,1,3,2,1
Ernests Gulbis,Tomas Berdych,hard,2,2,3,3,1
Ernests Gulbis,Tomas Berdych,hard,2,2,3,4,1
Ernests Gulbis,Tomas Berdych,hard,1,1,4,4,1
Ernests Gulbis,Tomas Berdych,hard,1,1,5,4,1
Ernests Gulbis,Tomas Berdych,hard,2,2,5,5,1
Ernests Gulbis,Tomas Berdych,hard,2,1,6,5,1
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,1
Ernests Gulbis,Tomas Berdych,hard,2,2,0,15,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,30,2
Ernests Gulbis,Tomas Berdych,hard,2,1,15,30,2
Ernests Gulbis,Tomas Berdych,hard,2,2,15,40,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,2
Ernests Gulbis,Tomas Berdych,hard,1,2,30,15,2
Ernests Gulbis,Tomas Berdych,hard,1,1,40,15,2
Ernests Gulbis,Tomas Berdych,hard,1,2,40,30,2
Ernests Gulbis,Tomas Berdych,hard,1,2,40,40,2
Ernests Gulbis,Tomas Berdych,hard,1,1,AD,40,2
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,2
Ernests Gulbis,Tomas Berdych,hard,2,1,15,0,2
Ernests Gulbis,Tomas Berdych,hard,2,2,15,15,2
Ernests Gulbis,Tomas Berdych,hard,2,1,30,15,2
Ernests Gulbis,Tomas Berdych,hard,2,2,30,30,2
Ernests Gulbis,Tomas Berdych,hard,2,1,40,30,2
Ernests Gulbis,Tomas Berdych,hard,2,1,0,0,2
Ernests Gulbis,Tomas Berdych,hard,1,2,0,15,2
Ernests Gulbis,Tomas Berdych,hard,1,2,0,30,2
Ernests Gulbis,Tomas Berdych,hard,1,1,15,30,2
Ernests Gulbis,Tomas Berdych,hard,1,2,15,40,2
Ernests Gulbis,Tomas Berdych,hard,1,2,0,0,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,15,2
Ernests Gulbis,Tomas Berdych,hard,2,1,15,15,2
Ernests Gulbis,Tomas Berdych,hard,2,2,15,30,2
Ernests Gulbis,Tomas Berdych,hard,2,1,30,30,2
Ernests Gulbis,Tomas Berdych,hard,2,1,40,30,2
Ernests Gulbis,Tomas Berdych,hard,2,2,40,40,2
Ernests Gulbis,Tomas Berdych,hard,2,2,40,AD,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,2
Ernests Gulbis,Tomas Berdych,hard,1,2,30,15,2
Ernests Gulbis,Tomas Berdych,hard,1,2,30,30,2
Ernests Gulbis,Tomas Berdych,hard,1,1,40,30,2
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,2
Ernests Gulbis,Tomas Berdych,hard,2,1,15,0,2
Ernests Gulbis,Tomas Berdych,hard,2,2,15,15,2
Ernests Gulbis,Tomas Berdych,hard,2,2,15,30,2
Ernests Gulbis,Tomas Berdych,hard,2,1,30,30,2
Ernests Gulbis,Tomas Berdych,hard,2,2,30,40,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,2
Ernests Gulbis,Tomas Berdych,hard,1,2,15,15,2
Ernests Gulbis,Tomas Berdych,hard,1,1,30,15,2
Ernests Gulbis,Tomas Berdych,hard,1,1,40,15,2
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,15,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,30,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,40,2
Ernests Gulbis,Tomas Berdych,hard,2,1,15,40,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,40,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,2
Ernests Gulbis,Tomas Berdych,hard,2,1,15,0,2
Ernests Gulbis,Tomas Berdych,hard,2,2,15,15,2
Ernests Gulbis,Tomas Berdych,hard,2,1,30,15,2
Ernests Gulbis,Tomas Berdych,hard,2,2,30,30,2
Ernests Gulbis,Tomas Berdych,hard,2,2,30,40,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,2
Ernests Gulbis,Tomas Berdych,hard,1,2,15,15,2
Ernests Gulbis,Tomas Berdych,hard,1,1,30,15,2
Ernests Gulbis,Tomas Berdych,hard,1,1,40,15,2
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,2
Ernests Gulbis,Tomas Berdych,hard,2,2,0,1,2
Ernests Gulbis,Tomas Berdych,hard,1,1,1,1,2
Ernests Gulbis,Tomas Berdych,hard,1,1,2,1,2
Ernests Gulbis,Tomas Berdych,hard,2,1,3,1,2
Ernests Gulbis,Tomas Berdych,hard,2,2,3,2,2
Ernests Gulbis,Tomas Berdych,hard,1,1,4,2,2
Ernests Gulbis,Tomas Berdych,hard,1,1,5,2,2
Ernests Gulbis,Tomas Berdych,hard,2,2,5,3,2
Ernests Gulbis,Tomas Berdych,hard,2,1,6,3,2
Ernests Gulbis,Tomas Berdych,hard,1,2,6,4,2
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,2
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,3
Ernests Gulbis,Tomas Berdych,hard,1,2,15,15,3
Ernests Gulbis,Tomas Berdych,hard,1,1,30,15,3
Ernests Gulbis,Tomas Berdych,hard,1,1,40,15,3
Ernests Gulbis,Tomas Berdych,hard,1,2,40,30,3
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,3
Ernests Gulbis,Tomas Berdych,hard,2,2,0,15,3
Ernests Gulbis,Tomas Berdych,hard,2,1,15,15,3
Ernests Gulbis,Tomas Berdych,hard,2,2,15,30,3
Ernests Gulbis,Tomas Berdych,hard,2,2,15,40,3
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,3
Ernests Gulbis,Tomas Berdych,hard,1,1,15,0,3
Ernests Gulbis,Tomas Berdych,hard,1,1,30,0,3
Ernests Gulbis,Tomas Berdych,hard,1,2,30,15,3
Ernests Gulbis,Tomas Berdych,hard,1,1,40,15,3
Ernests Gulbis,Tomas Berdych,hard,1,1,0,0,3
Ernests Gulbis,Tomas Berdych,hard,2,2,0,15,3
Ernests Gulbis,Tomas Berdych,hard,2,2,0,30,3
Ernests Gulbis,Tomas Berdych,hard,2,2,0,40,3
Ernests Gulbis,Tomas Berdych,hard,2,1,15,40,3
Ernests Gulbis,Tomas Berdych,hard,2,2,0,0,3
